state,county,2008D,2012D,2016D,2020D,2008R,2012R,2016R,2020R,2008O,2012O,2016O,2020O
TN,Humphreys,2790,3068,2580,3061,4431,4040,4534,5386,167,121,212,318
TN,Jackson,1697,1909,1523,1979,2867,2575,2884,3564,86,57,89,108
TN,Jefferson,4638,4546,4124,4015,13587,13989,14508,16156,459,314,554,896
TN,Johnson,1915,1794,1355,926,5020,4874,5181,6167,124,84,149,206
TN,Knox,70160,59404,62666,69388,108355,111544,107918,108704,12703,6584,18003,13730
TN,Lake,1222,1155,779,505,1428,1337,1282,1646,40,37,35,31
TN,Lauderdale,4113,4259,3604,3271,5149,4847,4887,5027,101,73,122,175
TN,Lawrence,3731,4307,3700,4656,11282,11587,12070,13599,296,182,335,465
TN,Lewis,1601,1679,1248,1262,3475,3321,3403,3890,109,122,128,170
TN,Lincoln,3056,3397,2999,3724,9763,10132,10145,10893,252,195,316,503
TN,Loudon,5945,5512,5325,4938,16455,17623,17580,18951,471,278,559,815
TN,McMinn,4874,4907,4283,3988,13544,13992,14469,16136,354,298,431,680
TN,McNairy,2400,2759,2328,3037,7481,7277,7580,8182,205,156,284,466
TN,Macon,1613,1741,1418,1834,5761,5549,5916,6759,119,54,135,173
TN,Madison,18348,18186,16864,14437,22299,22683,22140,22010,766,312,924,1137
TN,Marion,3567,4045,3487,4203,7190,6704,7364,8334,224,208,294,460
TN,Marshall,3847,3960,3436,3433,7381,7182,7729,8822,256,188,324,503
TN,Maury,12225,12416,11209,9603,20987,21862,22969,26974,884,416,1047,1297
TN,Meigs,1395,1393,1064,1069,3288,2957,3161,3597,84,70,102,143
TN,Monroe,4521,4645,3929,3541,12117,12489,12987,14520,317,250,401,627
TN,Montgomery,23469,23518,22320,19716,30996,31544,32141,35014,2724,1358,3405,3692
TN,Moore,975,941,662,667,2459,2233,2225,2398,72,45,85,123
TN,Morgan,1428,1830,1384,2040,5231,4975,5230,5848,137,99,173,254
TN,Obion,3127,3445,3095,4075,9207,9276,9395,9980,232,191,269,407
TN,Overton,2528,2913,2486,3307,5266,4998,5544,6654,162,73,176,243
TN,Perry,1269,1252,880,789,2076,1784,1963,2413,78,56,82,104
TN,Pickett,977,944,662,657,2220,1947,1956,2102,40,28,46,66
TN,Polk,1799,2021,1592,1910,4802,4410,4826,5559,124,104,147,203
TN,Putnam,8211,8179,7857,8365,17653,18574,18978,21178,824,405,922,1072
TN,Rhea,2426,2746,2323,2894,8395,8283,8518,9158,266,214,350,606
TN,Roane,5608,6099,5726,7068,15600,15927,16142,17378,552,268,632,803
TN,Robertson,8174,8569,7681,7426,18137,18708,19309,21449,576,234,684,799
TN,Rutherford,40387,36347,37920,39561,61751,65261,63537,66131,5764,3039,7009,4915
